
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.2943992614746094
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.2575993537902832
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.2862215042114258
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.2657771110534668
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.23715496063232422
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.24124383926391602
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.31893253326416016
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.2903103828430176
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.31075477600097656
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.2657771110534668
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.31893253326416016
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.2862215042114258
movimiento: No Detecto Movimiento, humedad: 20.0,temperatura: 30.0, distancia: 0.30666589736938477
movimiento: No Detecto Movimiento, humedad: 15.0,temperatura: 30.0, distancia: 0.30257701873779297
movimiento: No Detecto Movimiento, humedad: 15.0,temperatura: 30.0, distancia: 0.2862215042114258
movimiento: No Detecto Movimiento, humedad: 15.0,temperatura: 30.0, distancia: 0.2862215042114258
movimiento: No Detecto Movimiento, humedad: 15.0,temperatura: 30.0, distancia: 0.2862215042114258
movimiento: No Detecto Movimiento, humedad: 15.0,temperatura: 30.0, distancia: 0.20444393157958984
movimiento: No Detecto Movimiento, humedad: 18.0,temperatura: 30.0, distancia: 0.2903103828430176
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2862215042114258
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2862215042114258
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2943992614746094
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2453327178955078
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.30666589736938477
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2698659896850586
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.30666589736938477
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2862215042114258
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.282132625579834
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.282132625579834
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.30257701873779297
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2943992614746094
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2903103828430176
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2903103828430176
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.30666589736938477
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2903103828430176
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.2780437469482422
movimiento: No Detecto Movimiento, humedad: 17.0,temperatura: 30.0, distancia: 0.29848814010620117
movimiento: No Detecto Movimiento, humedad: 29.0,temperatura: 27.0, distancia: 0.2739548683166504
movimiento: No Detecto Movimiento, humedad: 29.0,temperatura: 27.0, distancia: 0.31893253326416016
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 27.0, distancia: 0.2903103828430176
movimiento: No Detecto Movimiento, humedad: 14.0,temperatura: 27.0, distancia: 0.3925323486328125
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 26.0, distancia: 0.31075477600097656
movimiento: No Detecto Movimiento, humedad: 31.0,temperatura: 26.0, distancia: 0.29848814010620117
movimiento: No Detecto Movimiento, humedad: 31.0,temperatura: 26.0, distancia: 0.2903103828430176
movimiento: No Detecto Movimiento, humedad: 31.0,temperatura: 27.0, distancia: 0.3720879554748535
movimiento: No Detecto Movimiento, humedad: 31.0,temperatura: 26.0, distancia: 0.29848814010620117
movimiento: No Detecto Movimiento, humedad: 31.0,temperatura: 26.0, distancia: 0.31893253326416016
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 26.0, distancia: 0.29848814010620117
movimiento: No Detecto Movimiento, humedad: 31.0,temperatura: 26.0, distancia: 0.29848814010620117
movimiento: No Detecto Movimiento, humedad: 31.0,temperatura: 26.0, distancia: 0.2862215042114258
movimiento: No Detecto Movimiento, humedad: 143.0,temperatura: 26.0, distancia: 0.2780437469482422
movimiento: No Detecto Movimiento, humedad: 31.0,temperatura: 26.0, distancia: 0.30257701873779297
movimiento: No Detecto Movimiento, humedad: 31.0,temperatura: 26.0, distancia: 0.2943992614746094
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 13.0, distancia: 0.30257701873779297
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 27.0, distancia: 0.35573244094848633
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 27.0, distancia: 0.30666589736938477
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 27.0, distancia: 0.29848814010620117
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 26.0, distancia: 0.30666589736938477
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 26.0, distancia: 0.31893253326416016
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 26.0, distancia: 0.3679990768432617
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 27.0, distancia: 0.30666589736938477
movimiento: No Detecto Movimiento, humedad: 30.0,temperatura: 26.0, distancia: 0.2943992614746094
